Position,Name,Year,LetterboxdURI,Description
284,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,
285,Love at First Sight,2023,https://boxd.it/bUmS,
286,Pure,2010,https://boxd.it/l14,
287,Seven Brides for Seven Brothers,1954,https://boxd.it/1JWA,
288,The Empire Strikes Back,1980,https://boxd.it/27Vw,
289,Invasion of the Body Snatchers,1956,https://boxd.it/1TAa,
290,The Tale of The Princess Kaguya,2013,https://boxd.it/4JQI,
291,Poor Things,2023,https://boxd.it/tNWU,
292,Minority Report,2002,https://boxd.it/2aWi,
293,Kung Fu Panda,2008,https://boxd.it/1Yws,
294,My Neighbor Totoro,1988,https://boxd.it/20eA,
295,Your Name.,2016,https://boxd.it/cUqs,
296,Paris Is Burning,1990,https://boxd.it/1jzg,
297,The Wizard of Oz,1939,https://boxd.it/29Xu,
298,The Conversation,1974,https://boxd.it/2a38,
299,El Mariachi,1992,https://boxd.it/1YRq,
300,Shower,1999,https://boxd.it/296q,
301,Son of the White Mare,1981,https://boxd.it/10f2,
302,Taste of Cherry,1997,https://boxd.it/1m8W,
303,Belladonna of Sadness,1973,https://boxd.it/2q,
304,Cat People,1942,https://boxd.it/1vG4,
305,Zootopia,2016,https://boxd.it/84xS,
306,Nimona,2023,https://boxd.it/Aiyc,
307,Empire Records,1995,https://boxd.it/1PY8,
308,Yi Yi,2000,https://boxd.it/1vCw,
309,The Lion King,1994,https://boxd.it/201Q,
310,The Red Shoes,1948,https://boxd.it/1EXI,
311,Near Dark,1987,https://boxd.it/1SRO,
312,GoodFellas,1990,https://boxd.it/29FA,
313,The Demon,1963,https://boxd.it/4si0,
314,The Exorcist,1973,https://boxd.it/1Yoo,
315,Song of the Sea,2014,https://boxd.it/3Ic6,
316,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
317,The Haunted House,1921,https://boxd.it/BAO,
318,Serpico,1973,https://boxd.it/1ZjE,
319,Turning Red,2022,https://boxd.it/ipkq,
320,Late Spring,1949,https://boxd.it/1DkK,
321,Rosemary's Baby,1968,https://boxd.it/29zM,
322,Island of Lost Souls,1932,https://boxd.it/25TS,
323,The Vanishing,1988,https://boxd.it/1ZTW,
324,Parasite,2019,https://boxd.it/hTha,
325,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG,
326,Chronicle,2012,https://boxd.it/2Emk,
327,(500) Days of Summer,2009,https://boxd.it/1EmM,
328,Peeping Tom,1960,https://boxd.it/1Utk,
329,Swallow,2019,https://boxd.it/lA0i,
330,Ivan's Childhood,1962,https://boxd.it/1j6y,
331,Primer,2004,https://boxd.it/6YA,
332,The Sandman,1991,https://boxd.it/I7O,
333,L.A. Confidential,1997,https://boxd.it/27oC,
334,Who's Afraid of Virginia Woolf?,1966,https://boxd.it/2atK,
335,Moana,2016,https://boxd.it/8tfY,
336,"Aguirre, the Wrath of God",1972,https://boxd.it/27Fe,
337,Scavengers Reign,2023,https://boxd.it/K7fI,
338,Kiki's Delivery Service,1989,https://boxd.it/1JAY,
339,The Piano Teacher,2001,https://boxd.it/2886,
340,Hundreds of Beavers,2022,https://boxd.it/CyUM,
341,The Descent,2005,https://boxd.it/1YNy,
342,The Piano,1993,https://boxd.it/29Kq,
343,All of Us Strangers,2023,https://boxd.it/Bz3C,
344,Paterson,2016,https://boxd.it/cRk2,
345,The Shape of Water,2017,https://boxd.it/dZ5m,
346,Joker,2019,https://boxd.it/h4cS,
347,The Wild Robot,2024,https://boxd.it/IWFy,
348,Shrek,2001,https://boxd.it/29zi,
349,Incantation,2022,https://boxd.it/wFiI,
350,The Graduate,1967,https://boxd.it/18Im,
351,Spy Kids,2001,https://boxd.it/1Xcw,
352,Pitch Black,2000,https://boxd.it/26iS,
353,Pickpocket,1997,https://boxd.it/zPi,
354,The Matrix Resurrections,2021,https://boxd.it/n87k,
355,Green Snake,1993,https://boxd.it/12Vk,
356,Blood Simple,1984,https://boxd.it/1U16,
357,Cure,1997,https://boxd.it/1blA,
358,Grave of the Fireflies,1988,https://boxd.it/1RUM,
359,Twelve Monkeys,1995,https://boxd.it/2beQ,
360,Sisyphus,1974,https://boxd.it/3c9O,
361,Cinema Paradiso,1988,https://boxd.it/1UlA,
362,Eyes Without a Face,1960,https://boxd.it/1j9i,
363,The Blues Brothers,1980,https://boxd.it/2adi,
364,Horror Express,1972,https://boxd.it/1gPK,
365,Oldboy,2003,https://boxd.it/29R2,
366,Soul,2020,https://boxd.it/ioLA,
367,Elevator to the Gallows,1958,https://boxd.it/294u,
368,How to Train Your Dragon 2,2014,https://boxd.it/2TRW,
369,Peter Pan,1953,https://boxd.it/1VCC,
370,The History of the Minnesota Vikings,2023,https://boxd.it/HyaO,
371,The Great Dictator,1940,https://boxd.it/29ic,
372,Before Midnight,2013,https://boxd.it/4ive,
373,High Noon,1952,https://boxd.it/2aGa,
374,Caché,2005,https://boxd.it/2amY,
375,Speed,1994,https://boxd.it/28qk,
376,The Music Box,1932,https://boxd.it/QPO,
377,Bound,1996,https://boxd.it/1Z1g,
378,Barton Fink,1991,https://boxd.it/2aFQ,
379,The Abyss,1989,https://boxd.it/26mK,
380,Genius Loci,2020,https://boxd.it/oHGm,
381,Hackers,1995,https://boxd.it/1WhU,
382,Amélie,2001,https://boxd.it/2aUc,
383,The Maltese Falcon,1941,https://boxd.it/29c4,
384,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
